"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2","bird_id","X1"
"18","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.37487621039366,18.169308368854,"removal","blk.s060.pu.w","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO"
"19","blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.25486905280516,17.8583838583731,"charcterization","blk.s061.pu.y","blk.s061.pu.y_female_pituitary_inc.d9"
"20","blk.y.l.s109_female_pituitary_m.inc.d8","blk.y.l.s109","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.43517199997976,18.0413353917123,"timing","blk.y.l.s109","blk.y.l.s109_female_pituitary_m.inc.d8"
"21","blk0.x_female_pituitary_m.n2","blk0.x","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.73104122668878,20.0846453557934,"removal","blk0.x","blk0.x_female_pituitary_m.n2"
"22","blk11.x_female_pituitary_bldg","blk11.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.37110788402462,17.9227433609958,"charcterization","blk11.x","blk11.x_female_pituitary_bldg"
"23","blk12.x_male_pituitary_n5","blk12.x","male","pituitary","n5","male.pituitary.n5","charcterization",8.2542382266768,20.483396615694,"charcterization","blk12.x","blk12.x_male_pituitary_n5"
"24","blk17.x_male_pituitary_inc.d17","blk17.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.78320022492572,20.4096031089448,"charcterization","blk17.x","blk17.x_male_pituitary_inc.d17"
"25","blk19.x_female_pituitary_extend","blk19.x","female","pituitary","extend","female.pituitary.extend","manipulation",8.02082844723693,21.1400505047122,"timing","blk19.x","blk19.x_female_pituitary_extend"
"26","blk21.x_female_pituitary_hatch","blk21.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.59527291369228,20.7400630789133,"charcterization","blk21.x","blk21.x_female_pituitary_hatch"
"27","blk4.x_female_pituitary_n9","blk4.x","female","pituitary","n9","female.pituitary.n9","charcterization",7.4597016760646,19.5392985008176,"charcterization","blk4.x","blk4.x_female_pituitary_n9"
"28","blk5.x_male_pituitary_m.inc.d3","blk5.x","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.38957225335725,17.8339377139483,"removal","blk5.x","blk5.x_male_pituitary_m.inc.d3"
"29","blu.o.x.ATLAS_female_pituitary_control","blu.o.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization",7.75884392171324,21.2198555763889,"charcterization","blu.o.x.ATLAS","blu.o.x.ATLAS_female_pituitary_control"
"30","blu10.w26.x_male_pituitary_m.hatch","blu10.w26.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.6017490382769,19.082245419695,"removal","blu10.w26.x","blu10.w26.x_male_pituitary_m.hatch"
"31","blu103.x_female_pituitary_hatch.NYNO","blu103.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.45804259276834,20.2748903575104,"charcterization","blu103.x","blu103.x_female_pituitary_hatch.NYNO"
"32","blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",8.25888042376263,21.4950701404623,"charcterization","blu104.w120.x","blu104.w120.x_male_pituitary_hatch.NYNO"
"33","blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.23235966109524,17.3571751505702,"charcterization","blu108.w40.o158","blu108.w40.o158_male_pituitary_inc.d9"
"34","blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.25190682868444,14.828595942497,"charcterization","blu111.w113.x","blu111.w113.x_male_pituitary_inc.d3"
"35","blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.89530295516338,20.5045923441932,"charcterization","blu113.w124.x","blu113.w124.x_male_pituitary_inc.d17.NYNO"
"36","blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.06689684369487,16.7720781653957,"charcterization","blu114.r38.w198","blu114.r38.w198_male_pituitary_bldg"
"37","blu115.y150.x_female_pituitary_inc.prolong","blu115.y150.x","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.57024825554843,19.1307205774027,"timing","blu115.y150.x","blu115.y150.x_female_pituitary_inc.prolong"
"38","blu119.w84.x_female_pituitary_m.inc.d8","blu119.w84.x","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.27007141500767,17.7827192316576,"timing","blu119.w84.x","blu119.w84.x_female_pituitary_m.inc.d8"
"39","blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.06310844848752,20.794803866433,"charcterization","blu121.w91.x","blu121.w91.x_male_pituitary_inc.d17"
"40","blu124.w180.x_female_pituitary_hatch","blu124.w180.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.77396992646479,21.0186889317376,"charcterization","blu124.w180.x","blu124.w180.x_female_pituitary_hatch"
"41","blu33.y88.x_male_pituitary_bldg","blu33.y88.x","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.27843235647512,17.4656304624485,"charcterization","blu33.y88.x","blu33.y88.x_male_pituitary_bldg"
"42","blu36.w16_female_pituitary_n9","blu36.w16","female","pituitary","n9","female.pituitary.n9","charcterization",7.39585503487644,19.0352375876671,"charcterization","blu36.w16","blu36.w16_female_pituitary_n9"
"43","blu37.r65.x_male_pituitary_n5","blu37.r65.x","male","pituitary","n5","male.pituitary.n5","charcterization",7.79954536627698,20.3210164488801,"charcterization","blu37.r65.x","blu37.r65.x_male_pituitary_n5"
"44","blu38.g135.x_female_pituitary_bldg","blu38.g135.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.4202501221459,17.2551012527265,"charcterization","blu38.g135.x","blu38.g135.x_female_pituitary_bldg"
"45","blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.29242012260062,17.8459754722486,"charcterization","blu39.o26.x","blu39.o26.x_female_pituitary_inc.d3.NYNO"
"46","blu41.y100.x_male_pituitary_n5","blu41.y100.x","male","pituitary","n5","male.pituitary.n5","charcterization",7.70784868841343,20.4031979730259,"charcterization","blu41.y100.x","blu41.y100.x_male_pituitary_n5"
"47","blu44.y102_female_pituitary_extend","blu44.y102","female","pituitary","extend","female.pituitary.extend","manipulation",7.56650933536119,19.8663430972962,"timing","blu44.y102","blu44.y102_female_pituitary_extend"
"48","blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.57473775179472,18.0566128198277,"charcterization","blu47.y96.x","blu47.y96.x_female_pituitary_inc.d9"
"49","blu55.g51_female_pituitary_n5","blu55.g51","female","pituitary","n5","female.pituitary.n5","charcterization",7.7474199916903,20.3126414070549,"charcterization","blu55.g51","blu55.g51_female_pituitary_n5"
"50","blu56.o53_female_pituitary_m.inc.d3","blu56.o53","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.36156686181015,18.1700702458003,"removal","blu56.o53","blu56.o53_female_pituitary_m.inc.d3"
"51","blu63.g62_female_pituitary_m.inc.d9","blu63.g62","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.57229693257042,17.0347811650646,"removal","blu63.g62","blu63.g62_female_pituitary_m.inc.d9"
"52","blu80.r97_female_pituitary_m.inc.d8","blu80.r97","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.13356102664586,18.481923058525,"timing","blu80.r97","blu80.r97_female_pituitary_m.inc.d8"
"53","blu81.r88_male_pituitary_n9","blu81.r88","male","pituitary","n9","male.pituitary.n9","charcterization",7.08834904678549,19.8972613065327,"charcterization","blu81.r88","blu81.r88_male_pituitary_n9"
"54","blu84.x_male_pituitary_extend.hatch","blu84.x","male","pituitary","extend","male.pituitary.extend","manipulation",7.7233671729103,20.5420886182955,"timing","blu84.x","blu84.x_male_pituitary_extend.hatch"
"55","d.r.blk.s159_female_pituitary_m.inc.d9","d.r.blk.s159","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.48917501321045,17.8145049056556,"removal","d.r.blk.s159","d.r.blk.s159_female_pituitary_m.inc.d9"
"56","d.s008.y.blk_male_pituitary_n5","d.s008.y.blk","male","pituitary","n5","male.pituitary.n5","charcterization",7.47935526934918,20.2792995549314,"charcterization","d.s008.y.blk","d.s008.y.blk_male_pituitary_n5"
"57","d.s047.blk.o_male_pituitary_n5","d.s047.blk.o","male","pituitary","n5","male.pituitary.n5","charcterization",7.44599665937877,19.9801008548222,"charcterization","d.s047.blk.o","d.s047.blk.o_male_pituitary_n5"
"58","d.s110.g.blk_male_pituitary_m.inc.d3","d.s110.g.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.250714256304,15.7550661340011,"removal","d.s110.g.blk","d.s110.g.blk_male_pituitary_m.inc.d3"
"59","d.s112.blk.w_female_pituitary_m.inc.d17","d.s112.blk.w","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.8547264572469,19.721486410284,"removal","d.s112.blk.w","d.s112.blk.w_female_pituitary_m.inc.d17"
"60","d.s177.blk.r_female_pituitary_m.inc.d3","d.s177.blk.r","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.5043897808181,17.5095440973029,"removal","d.s177.blk.r","d.s177.blk.r_female_pituitary_m.inc.d3"
"61","g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk","female","pituitary","lay","female.pituitary.lay","charcterization",7.39902072535385,17.5326653762579,"charcterization","g.blk.s004.pk","g.blk.s004.pk_female_pituitary_lay"
"62","g.blk.s041.r_male_pituitary_m.inc.d3","g.blk.s041.r","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.43528322184667,16.9860327172215,"removal","g.blk.s041.r","g.blk.s041.r_male_pituitary_m.inc.d3"
"63","g.o.y.s037_male_pituitary_m.inc.d17","g.o.y.s037","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.97240483766816,19.2606604341681,"removal","g.o.y.s037","g.o.y.s037_male_pituitary_m.inc.d17"
"64","g.s.blk.d_male_pituitary_n9","g.s.blk.d","male","pituitary","n9","male.pituitary.n9","charcterization",7.58625995134549,19.2896234402427,"charcterization","g.s.blk.d","g.s.blk.d_male_pituitary_n9"
"65","g.s.blk.y_male_pituitary_lay","g.s.blk.y","male","pituitary","lay","male.pituitary.lay","charcterization",7.39670917503645,17.8608612413293,"charcterization","g.s.blk.y","g.s.blk.y_male_pituitary_lay"
"66","g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk","male","pituitary","lay","male.pituitary.lay","charcterization",7.07221194823132,17.6646764613237,"charcterization","g.s043.pu.blk","g.s043.pu.blk_male_pituitary_lay"
"67","g.s075.pk.pu_male_pituitary_m.hatch","g.s075.pk.pu","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.50305541299853,18.9150272615182,"removal","g.s075.pk.pu","g.s075.pk.pu_male_pituitary_m.hatch"
"68","g.s076.pk.r_female_pituitary_m.hatch","g.s076.pk.r","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.45150616331423,19.5691125535668,"removal","g.s076.pk.r","g.s076.pk.r_female_pituitary_m.hatch"
"69","g.s078.blk.o_female_pituitary_lay","g.s078.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization",7.16583370335352,16.8269219148121,"charcterization","g.s078.blk.o","g.s078.blk.o_female_pituitary_lay"
"70","g.s111.r.blk_male_pituitary_m.inc.d8","g.s111.r.blk","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.43754079831323,16.8285172378182,"timing","g.s111.r.blk","g.s111.r.blk_male_pituitary_m.inc.d8"
"71","g.s179.o.pk_male_pituitary_m.inc.d8","g.s179.o.pk","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.13277390993826,10.3068359273273,"timing","g.s179.o.pk","g.s179.o.pk_male_pituitary_m.inc.d8"
"72","g.s351.pk.w_male_pituitary_extend","g.s351.pk.w","male","pituitary","extend","male.pituitary.extend","manipulation",7.47386501218297,20.3826351935131,"timing","g.s351.pk.w","g.s351.pk.w_male_pituitary_extend"
"73","g.y.blk.s006_female_pituitary_m.inc.d17","g.y.blk.s006","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.20614588970563,19.2078670326084,"removal","g.y.blk.s006","g.y.blk.s006_female_pituitary_m.inc.d17"
"74","g.y.o.s_male_pituitary_prolong","g.y.o.s","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.9624209428394,20.696753591995,"timing","g.y.o.s","g.y.o.s_male_pituitary_prolong"
"75","g104.w82.x_male_pituitary_bldg","g104.w82.x","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.30493519457157,16.7048661647611,"charcterization","g104.w82.x","g104.w82.x_male_pituitary_bldg"
"76","g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.69146499643683,19.4740128716787,"charcterization","g114.w83.x","g114.w83.x_male_pituitary_hatch.NYNO"
"77","g130.y81.x_male_pituitary_inc.d17","g130.y81.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.01519025373276,20.407154207336,"charcterization","g130.y81.x","g130.y81.x_male_pituitary_inc.d17"
"78","g137.r24.w5_male_pituitary_m.inc.d8","g137.r24.w5","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.38033683648864,17.7989426800351,"timing","g137.r24.w5","g137.r24.w5_male_pituitary_m.inc.d8"
"79","g141.blu27.x_female_pituitary_bldg","g141.blu27.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.25863680282815,16.6770546532852,"charcterization","g141.blu27.x","g141.blu27.x_female_pituitary_bldg"
"80","g142.r40.x_female_pituitary_inc.d17","g142.r40.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",7.61063733716074,20.4269253165274,"charcterization","g142.r40.x","g142.r40.x_female_pituitary_inc.d17"
"81","g143.blu32.x_male_pituitary_inc.d17","g143.blu32.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.41532871644587,17.5808253481259,"charcterization","g143.blu32.x","g143.blu32.x_male_pituitary_inc.d17"
"82","g144.r54.x_female_pituitary_m.inc.d3","g144.r54.x","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.33804220474693,18.4092374311133,"removal","g144.r54.x","g144.r54.x_female_pituitary_m.inc.d3"
"83","g146.blu51_male_pituitary_inc.d3","g146.blu51","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.24103253717222,16.9696026173366,"charcterization","g146.blu51","g146.blu51_male_pituitary_inc.d3"
"84","g17.w108.x_female_pituitary_extend","g17.w108.x","female","pituitary","extend","female.pituitary.extend","manipulation",7.24682365867119,20.7778318047268,"timing","g17.w108.x","g17.w108.x_female_pituitary_extend"
"85","g20.w106.x_male_pituitary_inc.d3","g20.w106.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.34176618943075,17.9993146616721,"charcterization","g20.w106.x","g20.w106.x_male_pituitary_inc.d3"
"86","g22.blu118_female_pituitary_extend","g22.blu118","female","pituitary","extend","female.pituitary.extend","manipulation",7.30952163851821,20.8421377396996,"timing","g22.blu118","g22.blu118_female_pituitary_extend"
"87","g3.g119.w20_male_pituitary_extend","g3.g119.w20","male","pituitary","extend","male.pituitary.extend","manipulation",7.32409864013718,20.433051126375,"timing","g3.g119.w20","g3.g119.w20_male_pituitary_extend"
"88","g32.blu79_male_pituitary_m.inc.d17","g32.blu79","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.4870154892112,18.9549369916043,"removal","g32.blu79","g32.blu79_male_pituitary_m.inc.d17"
"89","g34.x_male_pituitary_m.hatch","g34.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.64747004384453,19.8903880657363,"removal","g34.x","g34.x_male_pituitary_m.hatch"
"90","g38.x_male_pituitary_inc.prolong","g38.x","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.51964412371279,19.0728431187427,"timing","g38.x","g38.x_male_pituitary_inc.prolong"
"91","g52.blu58_male_pituitary_bldg","g52.blu58","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.34289765029491,17.1952954053744,"charcterization","g52.blu58","g52.blu58_male_pituitary_bldg"
"92","g53.y84_male_pituitary_hatch","g53.y84","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.69229882763077,20.706573134414,"charcterization","g53.y84","g53.y84_male_pituitary_hatch"
"93","g6.w197.x_female_pituitary_inc.d3","g6.w197.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.56732416462713,18.3489820488125,"charcterization","g6.w197.x","g6.w197.x_female_pituitary_inc.d3"
"94","g63.blu65_female_pituitary_m.inc.d17","g63.blu65","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.37713038231128,19.7667220769911,"removal","g63.blu65","g63.blu65_female_pituitary_m.inc.d17"
"95","g73.x_female_pituitary_m.inc.d9","g73.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.2708303356069,17.3416518811386,"removal","g73.x","g73.x_female_pituitary_m.inc.d9"
"96","g75.x_female_pituitary_inc.d9","g75.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.48669790298968,17.5939365642526,"charcterization","g75.x","g75.x_female_pituitary_inc.d9"
"97","g8.y197_male_pituitary_extend","g8.y197","male","pituitary","extend","male.pituitary.extend","manipulation",7.34533778471104,20.5144339686819,"timing","g8.y197","g8.y197_male_pituitary_extend"
"98","l.s.o.blk_male_pituitary_extend","l.s.o.blk","male","pituitary","extend","male.pituitary.extend","manipulation",7.58552113779607,20.5861755313151,"timing","l.s.o.blk","l.s.o.blk_male_pituitary_extend"
"99","l.s.w.d_female_pituitary_m.hatch","l.s.w.d","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.89950254873089,20.1271164906161,"removal","l.s.w.d","l.s.w.d_female_pituitary_m.hatch"
"100","l.s024.y.g_male_pituitary_m.inc.d17","l.s024.y.g","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.58003341356988,19.8000794327205,"removal","l.s024.y.g","l.s024.y.g_male_pituitary_m.inc.d17"
"101","l.s052.pk.r_female_pituitary_prolong","l.s052.pk.r","female","pituitary","prolong","female.pituitary.prolong","manipulation",8.24785073990989,20.925404427485,"timing","l.s052.pk.r","l.s052.pk.r_female_pituitary_prolong"
"102","l.s080.blk.r_male_pituitary_prolong","l.s080.blk.r","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.51523598612316,18.1829398931615,"timing","l.s080.blk.r","l.s080.blk.r_male_pituitary_prolong"
"103","l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.17351430942535,16.2609523341476,"charcterization","l.s120.y.blk","l.s120.y.blk_female_pituitary_bldg"
"104","l.s166.o.w_female_pituitary_prolong","l.s166.o.w","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.55177300478064,20.6574891903997,"timing","l.s166.o.w","l.s166.o.w_female_pituitary_prolong"
"105","l.s280.g.blk_male_pituitary_m.inc.d9","l.s280.g.blk","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.45066768024861,18.0222040484066,"removal","l.s280.g.blk","l.s280.g.blk_male_pituitary_m.inc.d9"
"106","o.d.s009_male_pituitary_m.inc.d9","o.d.s009","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.55100273569365,17.5463828956415,"removal","o.d.s009","o.d.s009_male_pituitary_m.inc.d9"
"107","o.s.w.r_male_pituitary_lay","o.s.w.r","male","pituitary","lay","male.pituitary.lay","charcterization",7.41799203710203,17.8920890885899,"charcterization","o.s.w.r","o.s.w.r_male_pituitary_lay"
"108","o.s010.r.blk_male_pituitary_m.inc.d3","o.s010.r.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.42366899302486,16.5746877197807,"removal","o.s010.r.blk","o.s010.r.blk_male_pituitary_m.inc.d3"
"109","o.s084.w.blk_female_pituitary_m.inc.d17","o.s084.w.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.42873742862605,19.4490559219307,"removal","o.s084.w.blk","o.s084.w.blk_female_pituitary_m.inc.d17"
"110","o114.blu9_male_pituitary_inc.prolong","o114.blu9","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.84316881120731,20.647354190261,"timing","o114.blu9","o114.blu9_male_pituitary_inc.prolong"
"111","o152.o120.w42_male_pituitary_n5","o152.o120.w42","male","pituitary","n5","male.pituitary.n5","charcterization",7.37345453632459,19.8427082698565,"charcterization","o152.o120.w42","o152.o120.w42_male_pituitary_n5"
"112","o156.w80.x_female_pituitary_inc.d3","o156.w80.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.35187635333735,17.9911846096724,"charcterization","o156.w80.x","o156.w80.x_female_pituitary_inc.d3"
"113","o165.w122.x_female_pituitary_inc.d3.NYNO","o165.w122.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.4531913327075,17.7832700879973,"charcterization","o165.w122.x","o165.w122.x_female_pituitary_inc.d3.NYNO"
"114","o169.r28.x_female_pituitary_m.inc.d17","o169.r28.x","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.37323471562247,20.0301253974096,"removal","o169.r28.x","o169.r28.x_female_pituitary_m.inc.d17"
"115","o172.w115.x_female_pituitary_hatch.NYNO","o172.w115.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.85379130591779,21.2589177086467,"charcterization","o172.w115.x","o172.w115.x_female_pituitary_hatch.NYNO"
"116","o173.w179.x_female_pituitary_inc.d3","o173.w179.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.37747066448313,18.2111884174608,"charcterization","o173.w179.x","o173.w179.x_female_pituitary_inc.d3"
"117","o3.x_male_pituitary_m.n2","o3.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.42837430092088,19.289060430404,"removal","o3.x","o3.x_male_pituitary_m.n2"
"118","o35.r51.x_female_pituitary_inc.d17","o35.r51.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",7.18249213821836,19.7414143159069,"charcterization","o35.r51.x","o35.r51.x_female_pituitary_inc.d17"
"119","o36.r62.x_female_pituitary_m.inc.d9","o36.r62.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.54944301382731,17.1176457607732,"removal","o36.r62.x","o36.r62.x_female_pituitary_m.inc.d9"
"120","o38.blu29.x_female_pituitary_bldg","o38.blu29.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.30758353502808,17.5707970571506,"charcterization","o38.blu29.x","o38.blu29.x_female_pituitary_bldg"
"121","o39.y77.x_male_pituitary_hatch","o39.y77.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.89286776737683,20.6804612684229,"charcterization","o39.y77.x","o39.y77.x_male_pituitary_hatch"
"122","o44.blu26.x_male_pituitary_hatch","o44.blu26.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.7469614791399,20.5529046118315,"charcterization","o44.blu26.x","o44.blu26.x_male_pituitary_hatch"
"123","o45.g128.x_female_pituitary_m.inc.d9","o45.g128.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.30523374283423,17.9687821440886,"removal","o45.g128.x","o45.g128.x_female_pituitary_m.inc.d9"
"124","o48.r197.x_male_pituitary_inc.d3","o48.r197.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.54223087917326,17.7613091478587,"charcterization","o48.r197.x","o48.r197.x_male_pituitary_inc.d3"
